"","pokemon","id","first_type","second_type","base_HP","base_Attack","base_Defense","base_SpecialAttack","base_SpecialDefense","base_Speed","first_ability","second_ability","third_ability","description","gender_differences","gender_rate","is_baby","evolves_from_species_id","hatch_counter","forms_switchable"
"728","totodile",158,"water","None",50,65,64,44,48,43,"torrent","sheer-force","","Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",0,1,0,NA,20,0
"142","croconaw",159,"water","None",65,80,80,59,63,58,"torrent","sheer-force","","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",0,1,0,158,20,0
"219","feraligatr",160,"water","None",85,105,100,79,83,78,"torrent","sheer-force","","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",0,1,0,159,20,0
"618","sentret",161,"normal","None",35,46,34,35,45,20,"run-away","keen-eye","frisk","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",0,4,0,NA,15,0
"241","furret",162,"normal","None",85,76,64,45,55,90,"run-away","keen-eye","frisk","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",0,4,0,161,15,0
"322","hoothoot",163,"normal","flying",60,30,30,36,56,50,"insomnia","keen-eye","tinted-lens","Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",0,4,0,NA,15,0
"487","noctowl",164,"normal","flying",100,50,50,76,96,70,"insomnia","keen-eye","tinted-lens","Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",0,4,0,163,15,0
"386","ledyba",165,"bug","flying",40,20,30,40,80,55,"swarm","early-bird","rattled","Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.",1,4,0,NA,15,0
"385","ledian",166,"bug","flying",55,35,50,55,110,85,"swarm","early-bird","iron-fist","It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",1,4,0,165,15,0
"672","spinarak",167,"bug","poison",40,60,40,40,40,30,"swarm","insomnia","sniper","The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.",0,4,0,NA,15,0
"30","ariados",168,"bug","poison",70,90,70,60,60,40,"swarm","insomnia","sniper","Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.",0,4,0,167,15,0
"141","crobat",169,"poison","flying",85,90,80,70,80,130,"inner-focus","infiltrator","","Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.",0,4,0,42,15,0
"117","chinchou",170,"water","electric",75,38,38,56,56,67,"volt-absorb","illuminate","water-absorb","Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",0,4,0,NA,20,0
"375","lanturn",171,"water","electric",125,58,58,76,76,67,"volt-absorb","illuminate","water-absorb","Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",0,4,0,170,20,0
"517","pichu",172,"electric","None",20,40,15,35,35,60,"static","lightning-rod","","When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",0,4,1,NA,10,0
"126","cleffa",173,"fairy","None",50,25,28,45,55,15,"cute-charm","magic-guard","friend-guard","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",0,6,1,NA,10,0
"331","igglybuff",174,"normal","fairy",90,30,15,40,20,15,"cute-charm","competitive","friend-guard","Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.",0,6,1,NA,10,0
"721","togepi",175,"fairy","None",35,20,65,40,65,20,"hustle","serene-grace","super-luck","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",0,1,1,NA,10,0
"722","togetic",176,"fairy","flying",55,40,85,80,105,40,"hustle","serene-grace","super-luck","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",0,1,0,175,10,0
"477","natu",177,"psychic","flying",40,50,45,70,45,70,"synchronize","early-bird","magic-bounce","Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.",0,4,0,NA,20,0
"796","xatu",178,"psychic","flying",65,75,70,95,70,95,"synchronize","early-bird","magic-bounce","Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.",1,4,0,177,20,0
"432","mareep",179,"electric","None",55,40,40,65,45,35,"static","plus","","Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",0,4,0,NA,20,0
"223","flaaffy",180,"electric","None",70,55,55,80,60,45,"static","plus","","Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.",0,4,0,179,20,0
"22","ampharos",181,"electric","None",90,75,85,115,90,55,"static","plus","","Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.",0,4,0,180,20,1
"59","bellossom",182,"grass","None",75,80,95,90,100,50,"chlorophyll","healer","","A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",0,4,0,44,20,0
"433","marill",183,"water","fairy",70,20,50,20,50,40,"thick-fat","huge-power","sap-sipper","When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",0,4,0,298,10,0
"41","azumarill",184,"water","fairy",100,50,80,60,80,50,"thick-fat","huge-power","sap-sipper","Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.",0,4,0,183,10,0
"689","sudowoodo",185,"rock","None",70,100,115,30,65,30,"sturdy","rock-head","rattled","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",1,4,0,438,20,0
"537","politoed",186,"water","None",90,75,75,90,100,70,"water-absorb","damp","drizzle","The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",1,4,0,61,20,0
"323","hoppip",187,"grass","flying",35,35,40,35,55,50,"chlorophyll","leaf-guard","infiltrator","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",0,4,0,NA,20,0
"645","skiploom",188,"grass","flying",55,45,50,45,65,80,"chlorophyll","leaf-guard","infiltrator","Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",0,4,0,187,20,0
"341","jumpluff",189,"grass","flying",75,55,70,55,95,110,"chlorophyll","leaf-guard","infiltrator","Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.",0,4,0,188,20,0
"13","aipom",190,"normal","None",55,70,55,40,55,85,"run-away","pickup","skill-link","Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",1,4,0,NA,20,0
"692","sunkern",191,"grass","None",30,30,30,30,30,30,"chlorophyll","solar-power","early-bird","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",0,4,0,NA,20,0
"691","sunflora",192,"grass","None",75,75,55,105,85,30,"chlorophyll","solar-power","early-bird","Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.",0,4,0,191,20,0
"799","yanma",193,"bug","flying",65,65,45,75,45,95,"speed-boost","compound-eyes","frisk","Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.",0,4,0,NA,20,0
"790","wooper",194,"water","ground",55,45,45,25,25,15,"damp","water-absorb","unaware","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",1,4,0,NA,20,0
"558","quagsire",195,"water","ground",95,85,85,65,65,35,"damp","water-absorb","unaware","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",1,4,0,194,20,0
"209","espeon",196,"psychic","None",65,65,60,130,95,110,"synchronize","magic-bounce","","Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.",0,1,0,133,35,0
"745","umbreon",197,"dark","None",95,65,110,60,130,65,"synchronize","inner-focus","","Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.",0,1,0,133,35,0
"475","murkrow",198,"dark","flying",60,85,42,85,42,91,"insomnia","super-luck","prankster","Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.",1,4,0,NA,20,0
"655","slowking",199,"water","psychic",95,75,80,100,110,30,"oblivious","own-tempo","regenerator","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",0,4,0,79,20,0
"465","misdreavus",200,"ghost","None",60,60,60,85,85,85,"levitate","","","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",0,4,0,NA,25,0
"747","unown",201,"psychic","None",48,72,48,72,48,48,"levitate","","","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",0,-1,0,NA,40,0
"788","wobbuffet",202,"psychic","None",190,33,58,33,58,33,"shadow-tag","telepathy","","Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",1,4,0,360,20,0
"259","girafarig",203,"normal","psychic",70,80,65,90,65,85,"inner-focus","early-bird","sap-sipper","Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",1,4,0,NA,20,0
"532","pineco",204,"bug","None",50,65,90,35,35,15,"sturdy","overcoat","","Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning.",0,4,0,NA,20,0
"234","forretress",205,"bug","steel",75,90,140,60,60,40,"sturdy","overcoat","","Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell’s inside cannot be seen.",0,4,0,204,20,0
"186","dunsparce",206,"normal","None",100,70,70,65,65,45,"serene-grace","run-away","rattled","Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.",0,4,0,NA,20,0
"266","gligar",207,"ground","flying",65,75,105,35,65,85,"hyper-cutter","sand-veil","immunity","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",1,4,0,NA,20,0
"684","steelix",208,"steel","ground",75,85,200,55,65,30,"rock-head","sturdy","sheer-force","Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.",1,4,0,95,25,1
"666","snubbull",209,"fairy","None",60,80,50,40,40,30,"intimidate","run-away","rattled","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",0,6,0,NA,20,0
"286","granbull",210,"fairy","None",90,120,75,60,60,45,"intimidate","quick-feet","rattled","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",0,6,0,209,20,0
"561","qwilfish",211,"water","poison",65,95,75,55,55,85,"poison-point","swift-swim","intimidate","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",0,4,0,NA,20,0
"606","scizor",212,"bug","steel",70,130,100,55,80,65,"swarm","technician","light-metal","Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.",1,4,0,123,25,1
"636","shuckle",213,"bug","rock",20,10,230,10,230,5,"sturdy","gluttony","contrary","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",0,4,0,NA,20,0
"309","heracross",214,"bug","fighting",80,125,75,40,95,85,"swarm","guts","moxie","Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",1,4,0,NA,25,1
"661","sneasel",215,"dark","ice",55,95,55,35,75,115,"inner-focus","keen-eye","pickpocket","Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.",1,4,0,NA,20,0
"710","teddiursa",216,"normal","None",60,80,50,50,50,40,"pickup","quick-feet","honey-gather","This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.",0,4,0,NA,20,0
"748","ursaring",217,"normal","None",90,130,75,75,75,55,"guts","quick-feet","unnerve","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",1,4,0,216,20,0
"657","slugma",218,"fire","None",40,40,40,70,40,20,"magma-armor","flame-body","weak-armor","Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs.",0,4,0,NA,20,0
"414","magcargo",219,"fire","rock",50,50,120,80,80,30,"magma-armor","flame-body","weak-armor","Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",0,4,0,218,20,0
"701","swinub",220,"ice","ground",50,50,40,30,30,50,"oblivious","snow-cloak","thick-fat","Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.",0,4,0,NA,20,0
"531","piloswine",221,"ice","ground",100,100,80,60,60,50,"oblivious","snow-cloak","thick-fat","Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.",1,4,0,220,20,0
"134","corsola",222,"water","rock",55,55,85,65,85,35,"hustle","natural-cure","regenerator","Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",0,6,0,NA,20,0
"576","remoraid",223,"water","None",35,65,35,65,35,65,"hustle","sniper","moody","Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",0,4,0,NA,20,0
"493","octillery",224,"water","None",75,105,75,105,75,45,"suction-cups","sniper","moody","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",1,4,0,223,20,0
"156","delibird",225,"ice","flying",45,55,45,65,45,75,"vital-spirit","hustle","insomnia","Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",0,4,0,NA,20,0
"429","mantine",226,"water","flying",65,40,70,80,140,70,"swift-swim","water-absorb","water-veil","On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",0,4,0,458,25,0
"643","skarmory",227,"steel","flying",65,80,140,40,70,70,"keen-eye","sturdy","weak-armor","Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",0,4,0,NA,25,0
"327","houndour",228,"dark","fire",45,60,30,80,50,65,"early-bird","flash-fire","unnerve","Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.",0,4,0,NA,20,0
"325","houndoom",229,"dark","fire",75,90,50,110,80,95,"early-bird","flash-fire","unnerve","In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",1,4,0,228,20,1
"353","kingdra",230,"water","dragon",75,95,95,95,95,85,"swift-swim","sniper","damp","Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",0,4,0,117,20,0
"514","phanpy",231,"ground","None",90,60,60,40,40,40,"pickup","sand-veil","","Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.",0,4,0,NA,20,0
"172","donphan",232,"ground","None",90,120,120,60,60,50,"sturdy","sand-veil","","If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.",1,4,0,231,20,0
"545","porygon2",233,"normal","None",85,80,90,105,95,60,"trace","download","analytic","Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.",0,-1,0,137,20,0
"678","stantler",234,"normal","None",73,95,62,85,65,85,"intimidate","frisk","sap-sipper","Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",0,4,0,NA,20,0
"659","smeargle",235,"normal","None",55,20,35,20,45,75,"own-tempo","technician","moody","Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",0,4,0,NA,20,0
"743","tyrogue",236,"fighting","None",35,35,35,35,35,35,"guts","steadfast","vital-spirit","Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.",0,0,1,NA,25,0
"316","hitmontop",237,"fighting","None",50,95,95,35,110,70,"intimidate","technician","steadfast","Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.",0,0,0,236,25,0
"660","smoochum",238,"ice","psychic",45,30,15,85,65,65,"oblivious","forewarn","hydration","Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",0,8,1,NA,25,0
"202","elekid",239,"electric","None",45,63,37,65,55,95,"static","vital-spirit","","Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.",0,2,1,NA,25,0
"413","magby",240,"fire","None",45,75,37,70,55,83,"flame-body","vital-spirit","","Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",0,2,1,NA,25,0
"461","miltank",241,"normal","None",95,80,105,40,70,100,"thick-fat","scrappy","sap-sipper","Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.",0,8,0,NA,20,0
"70","blissey",242,"normal","None",255,10,10,75,135,55,"natural-cure","serene-grace","healer","Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",0,8,0,113,40,0
"563","raikou",243,"electric","None",90,85,75,115,100,115,"pressure","volt-absorb","","Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.",0,-1,0,NA,80,0
"207","entei",244,"fire","None",115,115,85,90,75,100,"pressure","flash-fire","","Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.",0,-1,0,NA,80,0
"690","suicune",245,"water","None",100,75,115,90,115,85,"pressure","water-absorb","","Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.",0,-1,0,NA,80,0
"378","larvitar",246,"rock","ground",50,64,50,45,50,41,"guts","sand-veil","","Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",0,4,0,NA,40,0
"554","pupitar",247,"rock","ground",70,84,70,65,70,51,"shed-skin","","","Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.",0,4,0,246,40,0
"740","tyranitar",248,"rock","dark",100,134,110,95,100,61,"sand-stream","unnerve","","Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.",0,4,0,247,40,1
"404","lugia",249,"psychic","flying",106,90,130,90,154,110,"pressure","multiscale","","Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",0,-1,0,NA,120,0
"317","ho-oh",250,"fire","flying",106,130,90,110,154,90,"pressure","regenerator","","Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.",0,-1,0,NA,120,0
"101","celebi",251,"psychic","grass",100,100,100,100,100,100,"natural-cure","","","This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",0,-1,0,NA,120,0
"732","treecko",252,"grass","None",40,45,35,65,55,70,"overgrow","unburden","","Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.",0,1,0,NA,20,0
"293","grovyle",253,"grass","None",50,65,45,85,65,95,"overgrow","unburden","","This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.",0,1,0,252,20,0
"604","sceptile",254,"grass","None",70,85,65,105,85,120,"overgrow","unburden","","Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.",0,1,0,253,20,1
"723","torchic",255,"fire","None",45,60,40,70,50,45,"blaze","speed-boost","","Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.",1,1,0,NA,20,0
"131","combusken",256,"fire","fighting",60,85,60,85,60,55,"blaze","speed-boost","","Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.",1,1,0,255,20,0
"68","blaziken",257,"fire","fighting",80,120,70,110,70,80,"blaze","speed-boost","","Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.",1,1,0,256,20,1
"471","mudkip",258,"water","None",50,70,50,50,50,40,"torrent","damp","","In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.",0,1,0,NA,20,0
"435","marshtomp",259,"water","ground",70,85,70,60,70,50,"torrent","damp","","Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",0,1,0,258,20,0
"697","swampert",260,"water","ground",100,110,90,85,90,60,"torrent","damp","","Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",0,1,0,259,20,1
"542","poochyena",261,"dark","None",35,55,35,30,30,35,"run-away","quick-feet","rattled","Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.",0,4,0,NA,15,0
"459","mightyena",262,"dark","None",70,90,70,60,60,70,"intimidate","quick-feet","moxie","Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.",0,4,0,261,15,0
"806","zigzagoon",263,"normal","None",38,30,41,30,41,60,"pickup","gluttony","quick-feet","The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.",0,4,0,NA,15,0
"393","linoone",264,"normal","None",78,70,61,50,61,100,"pickup","gluttony","quick-feet","When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn.",0,4,0,263,15,0
"794","wurmple",265,"bug","None",45,45,35,20,30,20,"shield-dust","run-away","","Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.",0,4,0,NA,15,0
"639","silcoon",266,"bug","None",50,35,55,25,25,15,"shed-skin","","","Silcoon was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.",0,4,0,265,15,0
"54","beautifly",267,"bug","flying",60,70,50,100,50,65,"swarm","rivalry","","Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.",1,4,0,266,15,0
"95","cascoon",268,"bug","None",50,35,55,25,25,15,"shed-skin","","","If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.",0,4,0,265,15,0
"192","dustox",269,"bug","poison",60,50,70,50,90,65,"shield-dust","compound-eyes","","When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.",1,4,0,268,15,0
"399","lotad",270,"water","grass",40,30,30,40,50,30,"swift-swim","rain-dish","own-tempo","Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.",0,4,0,NA,15,0
"396","lombre",271,"water","grass",60,50,50,60,70,50,"swift-swim","rain-dish","own-tempo","Lombre’s entire body is covered by a slippery, slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.",0,4,0,270,15,0
"403","ludicolo",272,"water","grass",80,70,70,90,100,70,"swift-swim","rain-dish","own-tempo","Upon hearing an upbeat and cheerful rhythm, the cells in Ludicolo’s body become very energetic and active. Even in battle, this Pokémon will exhibit an amazing amount of power.",1,4,0,271,15,0
"615","seedot",273,"grass","None",40,40,50,30,30,30,"chlorophyll","early-bird","pickpocket","Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.",0,4,0,NA,15,0
"492","nuzleaf",274,"grass","dark",70,70,40,60,40,60,"chlorophyll","early-bird","pickpocket","This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.",1,4,0,273,15,0
